"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","25000000000","No"
"0x019a903487b08f97b4a348ba5771e1816f5ba33d","14500000","No"
"0x03c115ed31d19850afc575d5f52626db48624a67","1125000","No"
"0x05ca54398e5a47bee9f1aea1ec7225ac812937f5","76923066.92","No"
"0x0793837120fc3bbb58d07f1db858e4ebfb3c63f3","14000000","No"
"0x09f0de171163cc2cba63f97f67a916afce558774","384615384.6","No"
"0x0c6c955fcf83d77da8cd6df34fbdf94f6dc62c32","13500000","No"
"0x113bac034317d1584def7cc9288572531ae2c5bd","3175229898.5","No"
"0x11a4d72c834d5dcc7ff0302bae0083c698f984ff","400000","No"
"0x1270781f79133e7d1eb6928aca40cd949af27da8","40384615.3855","No"
"0x1402131ac19b92d0ca2a7c3ef89161c3f8a0216c","307692307.7","No"
"0x14acd8b441a57f9cf672f19f915f2040700948af","9250000","No"
"0x1864c40e16399a0495dee9af0964e9ac314c6e0e","96923076.92","No"
"0x1e422313a67f05416cb842609214899d01627cb1","123076923.1","No"
"0x1ee284babbcedc1d2aaf72e5caa049b2ac37aee2","9000000","No"
"0x219e5dcb3a20fa6b9653fe8534544cef342132ec","2500000","No"
"0x2310a349e1936b6eff35e2faf3e4f981c4f16365","76923076.92","No"
"0x23b37a0112ead2c9c46fa2db77d9273153f5c2e1","26249762.5","No"
"0x25e671c026c1065d4f0642879192610e26ac5cba","1153846154","No"
"0x27631b088a0ba06c9e5a4499dbd4d78943f2827a","69248361.54","No"
"0x2f54767ed0b8eb6a8f38a03745bf007a3255a215","13000000","No"
"0x317323124eb974622a49e19598cdfb55c5e811da","52500000","No"
"0x329299df51353e857c3a7829849987d766add6af","269230769.23","No"
"0x3654be46c941d890505d4d3af1f13fae5d805149","376830769.2","No"
"0x376e0ea84760c473a30aaa04d6b615f799f10aea","5088861061.2","No"
"0x38e72219ecf58f1d565b22e9ae2dc2c8798b8f50","196652500","No"
"0x3ccbc148bb4bad9801d9d050feaff3bb0ec261a3","48647500","No"
"0x3ffa11acc1b21d44ddc39416f072c57e0b6ac957","28757500","No"
"0x3ffdd4999567344c41856a51ff4a488fd9f7229b","33065000","No"
"0x4011a486dcd514a21b27687f100c78e3c71a8cf6","793318995000","No"
"0x41222a33d9b40173118bd8b80114a9ce3617664e","1565641693.9","No"
"0x43ca5320babf6b2f2328a6de5c1d97c794d41abd","222500000","No"
"0x448752fcc036a1fd539f4eca164d8fbca2c4e088","769779230.8","No"
"0x44d4b6b447052179986e4ee2c88b36ea76342a84","25000000","No"
"0x453a94ee76df17c25ca3cbafaa5a634b4e37d98b","4250000","No"
"0x46e9b39248b8edbc78cd8ee550f71875e5297319","128664042.5","No"
"0x48775a6e7199aa418ca328df02edc398ffd1c43b","297500","No"
"0x491873916a85b8f568cb5052db6f758e3d266d47","750500000","No"
"0x49f19f85cea430026a5b4cb0a0d8ffde6790ad18","1500000000","No"
"0x4ab734d6aee54bf8bc8a5be3f46689c26f484910","153846153.8","No"
"0x4b69fc3a0085ee27d46bf67aab0fe5774d5931e3","370219623.1","No"
"0x4b84d8bbdc9c961724f8ec281791272c2d6798d7","173076923.1","No"
"0x501520041cd2c1ea37a82b14a903c2f388f9cb2e","26635000","No"
"0x561c1847875772955dc2c20fbd1d45ee821070ae","2317639287.6","No"
"0x5baf6870c45d0f6e153f6c2ca00418d9ab395b23","2750000","No"
"0x5c8a014ef57f5649d95fce6ced4ac9005a6af8ab","30412500","No"
"0x5fef7c59c45521203c1197cf793eaa2688ff9306","150813795335.25","No"
"0x60d0beac7ed8fa5a17d4ef9521add4e1a628bcea","76184220.5","No"
"0x6181c44c062d76d08500cca54cb796ac7ecec24f","250000000","No"
"0x61d2b74b491c45bc6c694ba8d5b398e4c55e915f","396240384.6","No"
"0x653fd55fa2258dc23ba8cca9f7f1f691aa0b94ec","117500","No"
"0x666504417963ebb10e1daba8fce529273fbd16ed","7500000","No"
"0x6b5b030ea91dd366f2e9021bd9204f4bb22f593c","384615384.6","No"
"0x6e39e0646ae69a9deef51d5b11a1dd2aaa16f56b","224973285","No"
"0x6e4efc631bf2d85fa978544813280d2988a5d2ee","25453846.154","No"
"0x6eba8cf0b61265996a8a32a4e9cf458ead2e1768","103405000","No"
"0x6fdeacac0283e5f5bb2d21ee2b8eee3441c1c198","132091538.46","No"
"0x70f0d1f5dc5f08fd70ed6b149c08e72c7bf7867f","12500000","No"
"0x74712dfe822c33303d1c0e5b49cce29f84bcbb8e","7250000","No"
"0x75d0e59e954ac655e20ec8419fda6415a7f7d0b2","80827307.69","No"
"0x7d00f88da8cb5f098f091ff50621a8c3adc0b2e9","1525718667.7","No"
"0x7d238e6c81f296b47441e6b834432ac1464448aa","171346153.8","No"
"0x7ec42a237b23202f52d00bfa1e7d6c614e8f92f3","1599911538.5","No"
"0x7fa6630ea9ed1d779385ed79e587a0ded293c84b","215500000","No"
"0x84d4a21df0eb4a2a4cc99752541870c980a0e4cf","831284615.4","No"
"0x8ac11691b288f402be293daee5b1466840db6b4d","216183269.2","No"
"0x8b49c8d8522965484b36d6f0e94fe8b977d63dcc","54600000","No"
"0x95178a387785359587ff23fc767f2e7e674b4f9a","5000000","No"
"0x9d7f41e98d550ddd7e884b5f40135b7ef05bca7f","16000000","No"
"0x9e54b96ddef11c6efb8771e79f0de7319e152f5f","1531553231","No"
"0xa30305e3300faefcf76cf921fea11d0a73745fbc","115000","No"
"0xa31539145cbf7f5aa7b4e72fac3c520a86cec00e","131000000","No"
"0xa3cc3893b0d952c312afbd42d48d5b3b1ac177ff","236404689","No"
"0xa5409e331dca161eeafc0be1ebca554192b75285","150000","No"
"0xa6be9420478b250f0f6b02a905332b27f4cd9b5e","174623268.46","No"
"0xaf7cea2857b6f27cca93f0d81af8589d3be5d98c","250000","No"
"0xb25420bde26ae36578563079aa7afb8b590e48d7","3965538","No"
"0xb49e7d247bde713482436cc92e6eee1e0ff5708c","40000000","No"
"0xc00005f9a29aca2c2462c8a548faaf8d1c761cb9","5001","No"
"0xc19b22945fb4cee4ffa784ac0187b4a5c91d2b38","250000000","No"
"0xc3a48c8fb3f335983fe5aa463cd5f98825545209","330000000","No"
"0xc865f4edbdf30778f880808a4fc922ef197625d1","10000000","No"
"0xcb4f9a94363d688e11f5f3d87814aa492092ff97","27500000","No"
"0xcee8ede361d21dd36f4377a7404f7ad9a174ad94","389910384.6","No"
"0xcf79ac2cefb3eb3bfd57b8f3d3c1f0cc26bd7034","236000000","No"
"0xd09beffd4ccd256b2f5a79228389c36a79b190bb","14615384.62","No"
"0xd1969b2d110bfeef77aa75d857127237d18124b6","31497591.54","No"
"0xd721275fbd16b49922017ef42c48613450069b1a","15000000","No"
"0xd8577e9b83c068512a0899fbc2047e6707ad5fc5","213950000","No"
"0xd9f3d4bb742af9feb8be2f629572e6baf09cc5cf","147448864.81","No"
"0xdac3a1b1e64ac9fd73e70fd7887d57d745de795b","76915384.62","No"
"0xdb6817a1589f7df3b39ea39bf97c69719e1b4d6f","938461.5385","No"
"0xdc739dd0b1ee7f1f467cb2724961ea8beb3099c1","7902500","No"
"0xde3621b8ecd32273eb12f8b5bd1d5d7ea04b91b6","62249663.5","No"
"0xdf2be6d1ba9d5bdda8cd4bb8a041a45a34cc5c68","85000","No"
"0xe28445cbf1da9c76f2318593c3d451b54099547b","249997500.25","No"
"0xe40da90f5cfcf1c426c6fa01a00da24860db7728","141000000","No"
"0xe944e9ff48211021945cb28010e49bcf5605fee5","273250000","No"
"0xeea99a7a432bdc6ceec73178d33ac49d62523b75","2437500","No"
"0xf1bf108e81dd7257d491a6cd2575156b8afe25cb","24742500","No"
"0xf3d52abd1cca1940494e678c2e9e81c88d9255db","4250000","No"
"0xf50e16e74c46bd64998b4b2642a15c724e11a298","8854807.692","No"
"0xf58886c5a06873357e946e75a4a7e3051a1f061a","2500000","No"
"0xf68cb5fe00cc1f83a4288078cc1fbee63cec0ff1","25000000","No"
"0xf6a1a3c999c80549d4705c44b8242fd42de58e32","75000000","No"
"0xfb8a37c74399187f6332fc934b67405ec172e21b","47250000","No"
